ID,fold_change,neglogp,padj,input,count
agilent_100272,328.695,1000,0,21,63
agilent_100273,766.954,8.005,0.002,2,14
agilent_100822,62.799,10.568,0,82,47
agilent_10133,33.229,10.381,0,244,74
agilent_101646,35.227,14.398,0,395,127
agilent_101815,20.117,15.256,0,1269,233
agilent_102055,37.612,8.341,0.001,134,46
agilent_102451,103.304,11.25,0,35,33
agilent_102993,39.386,9.488,0,153,55
agilent_103212,146.086,1000,0,39,52
agilent_103515,26.004,9.339,0,316,75
agilent_105060,32.772,9.778,0,224,67
agilent_105237,58.791,6.868,0.034,41,22
agilent_105317,394.433,9.834,0,5,18
agilent_105467,88.104,1000,0,97,78
agilent_105498,37.685,15.477,0,471,162
agilent_105729,413.136,15.654,0,157,592
agilent_105793,40.58,6.729,0.046,81,30
agilent_105871,22.922,7.026,0.023,239,50
agilent_105921,160.695,9.984,0,15,22
agilent_10659,15.037,1000,0,1399,192
agilent_106683,46.726,15.477,0,340,145
agilent_106749,28.256,11.328,0,380,98
agilent_107420,17530.376,9.687,0,0.1,16
agilent_107529,193.717,15.955,0,263,465
agilent_108274,129.949,15.955,0,43,51
agilent_10959,35.798,10.109,0,202,66
agilent_10960,8.762,8.058,0.002,1288,103
agilent_109992,125.217,7.237,0.014,14,16
agilent_11033,196.127,15.654,0,181,324
agilent_110572,113.172,15.477,0,243,251
agilent_110645,29.993,7.892,0.003,179,49
agilent_11076,76.363,7.938,0.003,33,23
agilent_110953,24.673,7.966,0.003,262,59
agilent_111172,29.017,8.536,0.001,219,58
agilent_11154,19.864,7.569,0.007,353,64
agilent_112181,105.251,1000,0,127,122
agilent_112240,19.298,8.974,0,528,93
agilent_11266,48.154,15.353,0,405,178
agilent_112679,19.945,12.701,0,824,150
agilent_11270,42.447,14.808,0,302,117
agilent_11271,42.85,15.477,0,404,158
agilent_11272,68.331,15.654,0,186,116
agilent_11279,19.89,7.211,0.015,325,59
agilent_112839,101.469,15.654,0,203,188
agilent_113629,98.355,15.353,0,303,272
agilent_114915,56.889,10.874,0,104,54
agilent_114942,45.579,15.955,0,625,260
agilent_115082,14.258,1000,0,2044,266
agilent_115477,9.699,11.104,0,1638,145
agilent_11673,28.375,13.224,0,529,137
agilent_1167,195.162,15.654,0,544,969
agilent_116876,11.906,6.742,0.045,727,79
agilent_11743,27.05,11.177,0,401,99
agilent_118737,129.486,1000,0,66,78
agilent_12000,3433.032,1000,0,3,94
agilent_12001,2465.209,1000,0,6,135
agilent_12004,69.377,15.477,0,518,328
agilent_12005,116.634,1000,0,93,99
agilent_12008,24.222,10.919,0,484,107
agilent_12009,39.025,14.955,0,744,265
agilent_12011,233.243,15.477,0,590,1256
agilent_12012,160.993,15.955,0,196,288
agilent_12013,231.936,15.955,0,154,326
agilent_12014,16.822,15.477,0,1485,228
agilent_12015,286.415,15.109,0,1091,2852
agilent_12016,193.709,1000,0,2099,3711
agilent_12017,254.049,15.353,0,342,793
agilent_12018,503.998,15.955,0,75,345
agilent_12019,472.467,15.477,0,221,953
agilent_12020,321.664,15.256,0,374,1098
agilent_12024,1546.798,1000,0,17,240
agilent_12050,30.622,12.468,0,390,109
agilent_121339,17.506,8.153,0.002,532,85
agilent_121687,35.344,7.458,0.009,124,40
agilent_122035,54.782,7.567,0.007,56,28
agilent_12271,27.738,8.507,0.001,237,60
agilent_12273,24.165,14.841,0,798,176
agilent_124286,36.883,10.418,0,202,68
agilent_124508,535.65,1000,0,9,44
agilent_12489,6.333,9.932,0,2474,143
agilent_12491,7.322,1000,0,4100,274
agilent_12492,26.159,8.927,0,289,69
agilent_12509,18.9,1000,0,2058,355
agilent_12510,8.241,9.247,0,1622,122
agilent_12513,14.695,13.712,0,1275,171
agilent_125190,379.263,1000,0,13,45
agilent_125352,337.731,1000,0,97,299
agilent_1258,4.967,8.762,0,2978,135
agilent_125849,34.15,10.364,0,231,72
agilent_127459,93.13,6.969,0.027,20,17
agilent_128263,13.85,9.342,0,886,112
agilent_129460,1862.602,10.132,0,1,17
agilent_129495,252.383,15.353,0,257,592
agilent_130077,20.368,9.04,0,468,87
agilent_130167,20.279,7.85,0.004,362,67
agilent_130479,30.052,7.806,0.004,175,48
agilent_130691,27.276,8.363,0.001,237,59
agilent_130807,26.67,13.282,0,608,148
agilent_130859,51.837,13.996,0,186,88
agilent_131048,103.884,15.955,0,135,128
agilent_131571,49.45,9.91,0,113,51
agilent_133196,133.043,12.756,0,28,34
agilent_133222,359.738,1000,0,120,394
agilent_133244,80.732,9.147,0,38,28
agilent_133319,79.13,8.681,0.001,36,26
agilent_133510,23.732,7.892,0.003,277,60
agilent_133641,28.998,15.176,0,1398,370
agilent_133714,33.913,7.221,0.015,126,39
agilent_134145,72.391,10.072,0,56,37
agilent_1344,73.043,7.577,0.007,33,22
agilent_135148,97.678,15.955,0,212,189
agilent_135255,25.192,8.34,0.001,274,63
agilent_135869,18.485,8.873,0,569,96
agilent_136454,135.86,12.121,0,25,31
agilent_136648,76.318,15.654,0,145,101
agilent_136964,269.698,15.353,0,13,32
agilent_13702,90.053,1000,0,511,420
agilent_137154,313.754,1000,0,22,63
agilent_137474,113.525,15.955,0,83,86
agilent_137510,29.02,7.776,0.004,185,49
agilent_138538,17.741,7.771,0.004,457,74
agilent_138617,103.798,7.53,0.007,19,18
agilent_139744,38.234,10.504,0,192,67
agilent_139812,20.053,7.951,0.003,377,69
agilent_140310,15.073,8.081,0.002,676,93
agilent_140424,30.775,14.841,0,591,166
agilent_141880,41.345,7.962,0.003,106,40
agilent_142983,26.255,7.668,0.005,217,52
agilent_14319,14.569,10.066,0,910,121
agilent_145275,9.213,9.993,0,1546,130
agilent_145281,58.029,15.477,0,270,143
agilent_146002,29.185,8.796,0,229,61
agilent_146603,51.948,15.955,0,947,449
agilent_14710,25.543,9.34,0,326,76
agilent_147318,30.48,9.964,0,266,74
agilent_147886,40.672,8.945,0,132,49
agilent_148394,10.272,15.176,0,3424,321
agilent_149908,54.782,14.23,0,174,87
agilent_150264,59.763,15.955,0,209,114
agilent_151401,109.226,15.477,0,323,322
agilent_151679,111.487,15.654,0,57,58
agilent_151770,75.469,15.955,0,286,197
agilent_152384,103.534,1000,0,109,103
agilent_15288,25.301,11.532,0,498,115
agilent_154953,52.546,15.955,0,294,141
agilent_155047,44.405,13.368,0,227,92
agilent_155241,94.624,7.599,0.006,22,19
agilent_15524,202.274,1000,0,91,168
agilent_15530,43.922,15.353,0,454,182
agilent_155352,170.434,6.888,0.032,9,14
agilent_155522,150.956,15.955,0,90,124
agilent_156229,104.469,12.76,0,43,41
agilent_159126,19.202,11.599,0,776,136
agilent_159218,242.196,1000,0,19,42
agilent_159456,113.321,15.955,0,175,181
agilent_159514,37.235,1000,0,1127,383
agilent_159669,12.642,8.91,0,936,108
agilent_160233,34.873,14.699,0,421,134
agilent_1604,33.049,11.666,0,305,92
agilent_161061,38.444,7.719,0.005,114,40
agilent_161314,78.261,11.563,0,63,45
agilent_162628,16.764,15.256,0,1647,252
agilent_162642,10.226,14.654,0,2100,196
agilent_162887,33.103,15.109,0,609,184
agilent_163286,10.6,8.821,0,1137,110
agilent_164109,226.434,15.955,0,30,62
agilent_164257,85.217,10.62,0,45,35
agilent_164319,24.697,11.17,0,488,110
agilent_164458,130.108,8.394,0.001,16,19
agilent_164547,28.557,7.719,0.005,188,49
agilent_165273,48.028,1000,0,365,160
agilent_165556,14.738,8.48,0.001,736,99
agilent_166288,30.762,9.934,0,260,73
agilent_166410,21.995,10.279,0,533,107
agilent_166559,36.58,1000,0,623,208
agilent_166869,47.693,15.477,0,340,148
agilent_167150,31.891,14.808,0,3549,1033
agilent_168512,72.633,12.762,0,89,59
agilent_168,24.496,7.643,0.006,246,55
agilent_169232,71.339,1000,0,857,558
agilent_169487,22.011,9.598,0,448,90
agilent_169511,105.111,1000,0,123,118
agilent_169551,21.954,10.267,0,534,107
agilent_169,40.122,11.671,0,213,78
agilent_169906,30.63,15.654,0,905,253
agilent_169922,152.173,15.477,0,198,275
agilent_170679,59.215,15.955,0,655,354
agilent_171108,18.508,8.009,0.002,444,75
agilent_171130,33.012,13.347,0,385,116
agilent_171534,48.444,15,0,242,107
agilent_171675,32.437,14.282,0,456,135
agilent_171770,43.392,15.955,0,606,240
agilent_173004,39.515,8.272,0.001,122,44
agilent_173438,31.758,7.15,0.018,138,40
agilent_173452,41.336,12.237,0,220,83
agilent_174068,77.34,10.271,0,51,36
agilent_174290,282.34,1000,0,26,67
agilent_174849,488.062,1000,0,11,49
agilent_175178,26.6,6.842,0.036,173,42
agilent_17524,9.746,7.919,0.003,1113,99
agilent_175301,38.11,8.61,0.001,138,48
agilent_175873,22.767,6.85,0.035,231,48
agilent_1772,44.269,8.208,0.002,99,40
agilent_177491,21.75,8.982,0,403,80
agilent_178639,24.231,11.222,0,520,115
agilent_179427,276.795,1000,0,19,48
agilent_179435,216.246,1000,0,38,75
agilent_179609,52.93,14.955,0,207,100
agilent_179885,54.91,15.353,0,429,215
agilent_180291,60.261,6.948,0.028,40,22
agilent_180309,49.091,1000,0,308,138
agilent_180974,94.113,15.353,0,78,67
agilent_18111,38.67,11.472,0,221,78
agilent_182054,24.059,12.313,0,633,139
agilent_182676,123.694,15.654,0,411,464
agilent_182895,23.464,11.118,0,551,118
agilent_183651,65.739,10.928,0,80,48
agilent_183695,23.081,9.422,0,394,83
agilent_183889,33.974,13.77,0,387,120
agilent_184314,65.412,9.943,0,67,40
agilent_185725,13.571,8.077,0.002,767,95
agilent_186130,243.234,1000,0,100,222
agilent_186478,35.561,10.721,0,228,74
agilent_187436,88.399,15.654,0,264,213
agilent_187523,28.291,8.194,0.002,213,55
agilent_187846,103.12,6.866,0.034,17,16
agilent_187870,35.798,10.109,0,202,66
agilent_188380,21.371,8.313,0.001,364,71
agilent_188441,37.005,8.837,0,151,51
agilent_188820,48.12,11.376,0,148,65
agilent_190839,67.337,12.318,0,96,59
agilent_190846,117.438,1000,0,167,179
agilent_191267,19.594,9.252,0,548,98
agilent_192293,20.696,7.99,0.003,360,68
agilent_19231,14.36,8.519,0.001,763,100
agilent_192564,165.724,15.955,0,199,301
agilent_193060,75.853,6.753,0.044,26,18
agilent_193153,18.573,9.036,0,584,99
agilent_193544,36.522,12.418,0,285,95
agilent_194176,31.093,12.282,0,370,105
agilent_19569,75.853,6.753,0.044,26,18
agilent_1961,214.916,1000,0,52,102
agilent_196127,52.541,15.477,0,440,211
agilent_198019,128.271,15.256,0,41,48
agilent_198037,37.359,14.256,0,349,119
agilent_198414,91.619,15.654,0,232,194
agilent_199155,31.511,12.624,0,379,109
agilent_199300,49.059,7.41,0.01,67,30
agilent_199901,16.713,8.695,0.001,649,99
agilent_200155,18.037,8.67,0.001,571,94
agilent_200370,404.257,1000,0,29,107
agilent_200592,657.389,1000,0,6,36
agilent_200650,16.341,6.747,0.044,409,61
agilent_200788,53.821,10.847,0,114,56
agilent_200789,65.204,1000,0,205,122
agilent_200824,20.719,7.343,0.011,312,59
agilent_200833,29.733,9.775,0,269,73
agilent_200886,18.954,8.446,0.001,474,82
agilent_2013,34.435,7.837,0.004,140,44
agilent_201764,47.979,11.573,0,153,67
agilent_201880,33.031,7.375,0.01,136,41
agilent_202464,26.899,9.986,0,334,82
agilent_202805,19.402,8.694,0.001,480,85
agilent_202840,67.425,9.015,0,52,32
agilent_203500,22.288,10.363,0,526,107
agilent_20375,20.325,12.804,0,814,151
agilent_204016,29.731,12.242,0,398,108
agilent_204067,4.526,7.498,0.008,2808,116
agilent_204171,38.395,7.831,0.004,117,41
agilent_20453,6.186,8.817,0,2214,125
agilent_2046,153.535,1000,0,152,213
agilent_204714,76.798,14.875,0,107,75
agilent_20525,185.294,1000,0,68,115
agilent_205439,28.016,15.109,0,1009,258
agilent_205570,15.738,10.913,0,912,131
agilent_206025,52.591,13.722,0,175,84
agilent_206026,36.167,12.868,0,309,102
agilent_206029,24.03,9.657,0,383,84
agilent_206719,59.112,15.955,0,291,157
agilent_20704,50.568,9.658,0,104,48
agilent_207247,75.572,15.477,0,390,269
agilent_207681,164.347,1000,0,100,150
agilent_208705,57.744,9.21,0,74,39
agilent_208997,37.316,8.428,0.001,138,47
agilent_209253,25.574,15.654,0,844,197
agilent_209266,40.1,15.109,0,347,127
agilent_209633,33.528,8.953,0,183,56
agilent_211783,74.907,13.851,0,98,67
agilent_212,227.785,15.176,0,519,1079
agilent_212624,37.554,12.72,0,283,97
agilent_212629,35.992,1000,0,621,204
agilent_212857,31.361,10.464,0,276,79
agilent_212990,50.568,8.267,0.001,78,36
agilent_213881,17.771,9.93,0,709,115
agilent_2143,30.374,8.557,0.001,202,56
agilent_214527,43.826,9.782,0,135,54
agilent_214592,24.508,7.339,0.011,228,51
agilent_214765,109.565,9.69,0,25,25
agilent_21513,12.155,11.462,0,1298,144
agilent_215246,77.756,13.986,0,93,66
agilent_21776,36.053,15.353,0,468,154
agilent_218358,24.18,8.253,0.001,290,64
agilent_219870,13.386,1000,0,2210,270
agilent_219872,9.339,12.772,0,2018,172
agilent_220151,648.347,15.654,0,206,1219
agilent_220204,72.481,15.955,0,130,86
agilent_220658,233.495,15.654,0,450,959
agilent_220677,26.405,10.263,0,361,87
agilent_220721,17.395,7.324,0.012,422,67
agilent_220768,395.297,15.353,0,533,1923
agilent_220841,21.822,6.708,0.049,241,48
agilent_221000,160.993,1000,0,49,72
agilent_221096,379.152,1000,0,76,263
agilent_22113,20.114,8.886,0,463,85
agilent_221215,21.662,15.955,0,961,190
agilent_221241,3.59,8.258,0.001,4608,151
agilent_221670,21.6,8.208,0.002,350,69
agilent_2221,16.223,11.469,0,932,138
agilent_222419,51.56,6.761,0.043,51,24
agilent_223034,328.695,15.955,0,50,150
agilent_223185,18.158,6.932,0.029,356,59
agilent_223695,205.434,1000,0,32,60
agilent_224194,69.11,10.355,0,65,41
agilent_224304,94.709,13.571,0,59,51
agilent_225378,38.67,10.469,0,187,66
agilent_225569,27.095,1000,0,4351,1076
agilent_226451,87.462,15.654,0,347,277
agilent_226780,121.844,15.955,0,116,129
agilent_227745,47.086,14.632,0,242,104
agilent_228208,60.115,12.056,0,113,62
agilent_228595,82.174,7.724,0.005,28,21
agilent_228637,243.616,15.654,0,264,587
agilent_228769,102.782,15.654,0,210,197
agilent_228814,179.288,1000,0,33,54
agilent_229166,52.123,9.903,0,103,49
agilent_229243,19.786,8.566,0.001,443,80
agilent_229456,249.077,15.955,0,150,341
agilent_229658,146.803,1000,0,153,205
agilent_2296,62.808,15.176,0,157,90
agilent_229777,16.711,10.502,0,813,124
agilent_229842,273.912,1000,0,44,110
agilent_230029,165.943,15.955,0,103,156
agilent_230161,19.613,7.094,0.02,324,58
agilent_230300,46.896,1000,0,521,223
agilent_230689,115.75,15.955,0,124,131
agilent_230764,124.173,7.586,0.006,15,17
agilent_231419,48.5,15.955,0,436,193
agilent_232822,62.222,15.256,0,162,92
agilent_233503,60.869,7.506,0.008,45,25
agilent_233697,17.654,15.109,0,1204,194
agilent_23429,124.479,15.955,0,191,217
agilent_234348,74.221,7.409,0.01,31,21
agilent_234607,103.798,11.849,0,38,36
agilent_234694,23.967,7.104,0.02,224,49
agilent_235068,85.217,9.375,0,36,28
agilent_235082,10.344,10.201,0,1377,130
agilent_235281,891.459,1000,0,22,179
agilent_235302,86.388,11.611,0,52,41
