ID,fold_change,neglogp,padj,input,count
agilent_100023,61.572,9.072,0,38,19
agilent_100165,27.834,8.908,0,146,33
agilent_100634,44.541,7.358,0.011,47,17
agilent_10069,5.415,7.462,0.008,3275,144
agilent_101,62.723,15.176,0,909,463
agilent_102990,18.636,9.149,0,337,51
agilent_10708,6.948,8.4,0.001,1737,98
agilent_107425,21.334,12.059,0,456,79
agilent_107529,124.08,15.955,0,263,265
agilent_1075,9.243,6.822,0.037,826,62
agilent_1088,67.002,15.955,0,737,401
agilent_10898,20.354,8.486,0.001,242,40
agilent_10959,78.641,15.955,0,202,129
agilent_10960,20.078,15.477,0,1288,210
agilent_109953,30.503,8.24,0.001,109,27
agilent_110337,7.386,6.731,0.045,1117,67
agilent_11048,46.595,10.332,0,74,28
agilent_110572,37.501,15.955,0,243,74
agilent_11200,7.144,7.298,0.012,1310,76
agilent_11270,20.388,9.558,0,302,50
agilent_11271,30.786,1000,0,404,101
agilent_11272,41.048,15.256,0,186,62
agilent_11275,25.014,9.32,0,192,39
agilent_11277,14.765,7.614,0.006,392,47
agilent_11278,8.961,9.901,0,1443,105
agilent_112839,98.879,1000,0,203,163
agilent_11380,54.62,1000,0,124,55
agilent_114549,39.656,7.529,0.007,59,19
agilent_11458,14.167,7.751,0.004,452,52
agilent_1148,18.336,11.608,0,591,88
agilent_11512,57.95,12.405,0,68,32
agilent_115906,43.208,8.094,0.002,57,20
agilent_116537,13.372,6.858,0.034,396,43
agilent_1167,21.958,13.437,0,544,97
agilent_118201,28.168,14.239,0,341,78
agilent_118908,148.569,15.353,0,402,485
agilent_11947,35.558,15.256,0,800,231
agilent_11948,23.423,15.051,0,1083,206
agilent_11949,31.171,15.256,0,320,81
agilent_12000,656.766,12.025,0,3,16
agilent_12001,492.574,1000,0,6,24
agilent_12004,34.708,15.477,0,518,146
agilent_12005,55.613,14.247,0,93,42
agilent_12006,34.061,8.497,0.001,94,26
agilent_12011,195.151,15.477,0,590,935
agilent_12012,184.715,1000,0,196,294
agilent_12013,225.497,15.955,0,154,282
agilent_12015,182.176,15.353,0,1091,1614
agilent_12016,163.624,15.955,0,2099,2789
agilent_12017,172.113,1000,0,342,478
agilent_12018,106.724,1000,0,75,65
agilent_12019,118.686,1000,0,221,213
agilent_12020,87.583,1000,0,374,266
agilent_12021,30.471,15.477,0,489,121
agilent_12023,33.688,15.955,0,541,148
agilent_12024,289.75,1000,0,17,40
agilent_121578,72.767,7.104,0.019,22,13
agilent_121687,33.765,9.937,0,124,34
agilent_122969,21.27,8.443,0.001,220,38
agilent_123600,38.157,12.273,0,142,44
agilent_124605,11.91,10.902,0,1065,103
agilent_12509,44.459,15.477,0,2058,743
agilent_12510,50.184,15.109,0,1622,661
agilent_12511,62.38,1000,0,381,193
agilent_12512,32.797,15.256,0,1179,314
agilent_12513,37.861,14.913,0,1275,392
agilent_126158,13.587,8.273,0.001,571,63
agilent_126797,28.828,14.676,0,346,81
agilent_126996,26.54,7.351,0.011,116,25
agilent_127348,59.291,11.037,0,54,26
agilent_128532,10.981,9.093,0,942,84
agilent_129495,80.978,15.654,0,257,169
agilent_129737,6.907,8.416,0.001,1765,99
agilent_130807,24.912,15.353,0,608,123
agilent_131450,21.178,6.905,0.03,157,27
agilent_132716,33.585,8.633,0.001,99,27
agilent_13282,37.527,15.353,0,548,167
agilent_133222,116.986,1000,0,120,114
agilent_134623,36.094,6.707,0.048,58,17
agilent_135034,100.496,1000,0,87,71
agilent_135148,68.542,15.955,0,212,118
agilent_135280,12.233,7.618,0.006,604,60
agilent_135709,236.815,15.955,0,13,25
agilent_137474,81.601,1000,0,83,55
agilent_139399,169.322,7.148,0.017,8,11
agilent_139400,189.452,1000,0,26,40
agilent_140151,42.361,12.707,0,125,43
agilent_140656,64.035,1000,0,125,65
agilent_1414,90.451,15.955,0,113,83
agilent_141554,27.365,7.277,0.013,108,24
agilent_142395,88.937,7.486,0.008,18,13
agilent_144401,44.586,8.472,0.001,58,21
agilent_145084,25.976,7.626,0.006,128,27
agilent_145826,47.305,15.955,0,164,63
agilent_147336,35.506,15.353,0,874,252
agilent_149299,8.94,10.218,0,1529,111
agilent_149908,68.649,1000,0,174,97
agilent_150384,14.412,9.729,0,675,79
agilent_153298,411.761,1000,0,32,107
agilent_15412,151.151,15.353,0,554,680
agilent_1543,22.39,7.564,0.007,165,30
agilent_155077,35.975,13.148,0,178,52
agilent_155137,18.885,8.957,0,313,48
agilent_155180,17.366,8.163,0.002,312,44
agilent_155800,10.834,8.008,0.002,807,71
agilent_156099,25.53,8.696,0,164,34
agilent_156394,43.208,12.289,0,114,40
agilent_159022,47.668,12.109,0,93,36
agilent_160280,24.629,6.913,0.03,120,24
agilent_161519,18.876,13.051,0,685,105
agilent_161924,34.101,6.78,0.041,65,18
agilent_162736,41.869,11.006,0,100,34
agilent_163695,46.093,1000,0,179,67
agilent_166550,61.572,13.23,0,68,34
agilent_166869,64.831,15.477,0,340,179
agilent_168360,9.028,7.839,0.004,1023,75
agilent_1683,16.985,10.887,0,609,84
agilent_169153,15.434,7.833,0.004,375,47
agilent_169913,43.003,15.955,0,378,132
agilent_169922,23.012,8.666,0.001,198,37
agilent_170771,17.893,7.231,0.014,234,34
agilent_171770,25.198,15.477,0,606,124
agilent_171992,15.519,7.783,0.004,365,46
agilent_172854,18.169,7.528,0.007,244,36
agilent_173112,24.629,9.769,0,215,43
agilent_174533,7.395,6.888,0.032,1149,69
agilent_174704,13.641,11.784,0,975,108
agilent_175799,40.478,1000,0,216,71
agilent_177491,20.473,10.959,0,403,67
agilent_1793,114.855,1000,0,104,97
agilent_179678,13.628,7.752,0.004,497,55
agilent_179748,23.132,8.277,0.001,181,34
agilent_179817,21.327,7.524,0.007,179,31
agilent_180309,55.974,15.955,0,308,140
agilent_180726,63.902,1000,0,185,96
agilent_181391,364.505,1000,0,25,74
agilent_182072,14.795,15.256,0,1390,167
agilent_182676,106.065,1000,0,411,354
agilent_183695,39.068,1000,0,394,125
agilent_183727,36.65,8.6,0.001,84,25
agilent_186311,42.627,11.479,0,104,36
agilent_187514,29.076,9.261,0,144,34
agilent_188501,27.826,10.929,0,208,47
agilent_189872,30.205,10.234,0,159,39
agilent_191187,25.576,11.278,0,260,54
agilent_191190,26.321,7.848,0.003,131,28
agilent_192392,65.09,14.273,0,70,37
agilent_192564,71.163,1000,0,199,115
agilent_192983,64.035,6.845,0.035,25,13
agilent_193153,11.176,6.765,0.042,584,53
agilent_193311,14.869,7.001,0.024,323,39
agilent_19374,31.537,7.19,0.016,82,21
agilent_196127,82.842,15.353,0,440,296
agilent_196472,16.452,6.791,0.04,247,33
agilent_198474,20.14,13.418,0,642,105
agilent_198657,96.836,1000,0,660,519
agilent_19979,15.947,8.509,0.001,417,54
agilent_200145,20.35,8.367,0.001,236,39
agilent_200370,152.868,1000,0,29,36
agilent_200650,13.549,7.061,0.021,409,45
agilent_200788,47.529,13.587,0,114,44
agilent_200789,43.25,15.955,0,205,72
agilent_200833,30.671,13.905,0,269,67
agilent_201880,37.124,11.619,0,136,41
agilent_203812,7.585,7.809,0.004,1315,81
agilent_205105,16.902,8.455,0.001,357,49
agilent_205570,15.933,13.204,0,912,118
agilent_205861,37.101,12.592,0,156,47
agilent_206025,49.257,15.955,0,175,70
agilent_206026,30.288,14.676,0,309,76
agilent_206027,41.048,7.104,0.019,51,17
agilent_206029,24.757,13.105,0,383,77
agilent_206409,39.841,10.56,0,102,33
agilent_206606,10.032,8.516,0.001,982,80
agilent_207681,70.192,1000,0,100,57
agilent_209944,89.083,15.654,0,47,34
agilent_210454,172.875,1000,0,52,73
agilent_212099,70.808,1000,0,120,69
agilent_213300,18.357,10.545,0,483,72
agilent_213619,59.449,7.104,0.019,29,14
agilent_213732,15.393,6.859,0.034,288,36
agilent_214677,142.998,15.477,0,552,641
agilent_21513,13.946,14.699,0,1298,147
agilent_215353,13.655,7.697,0.005,487,54
agilent_216130,34.46,14.875,0,243,68
agilent_219731,34.455,15.955,0,386,108
agilent_220456,13.873,10.318,0,790,89
agilent_220657,36.927,15.176,0,767,230
agilent_220721,19.259,10.474,0,422,66
agilent_220793,26.053,15.353,0,657,139
agilent_221016,15.77,7.941,0.003,367,47
agilent_221096,98.839,1000,0,76,61
agilent_221266,37.89,9.353,0,91,28
agilent_221942,19.93,14.654,0,760,123
agilent_2221,15.327,12.883,0,932,116
agilent_222419,41.048,7.104,0.019,51,17
agilent_222809,10.078,8.696,0,1002,82
agilent_222866,20.197,15.353,0,1317,216
agilent_223183,168.964,1000,0,43,59
agilent_223567,52.865,1000,0,198,85
agilent_223695,100.054,13.634,0,32,26
agilent_223876,46.632,15.955,0,272,103
agilent_224194,39.785,8.038,0.002,65,21
agilent_224607,19.241,6.998,0.025,192,30
agilent_225009,32.133,15.256,0,594,155
agilent_225132,40.141,14.875,0,181,59
agilent_225863,194.188,1000,0,52,82
agilent_226539,42.128,11.965,0,114,39
agilent_226780,29.724,8.319,0.001,116,28
agilent_226915,20.711,8.201,0.002,220,37
agilent_228561,20.784,8.582,0.001,237,40
agilent_229243,17.235,9.497,0,443,62
agilent_229456,197.03,15.955,0,150,240
agilent_229642,162.031,15.353,0,19,25
agilent_229658,36.219,12.137,0,153,45
agilent_229765,22.999,15.256,0,1194,223
agilent_230711,36.072,9.326,0,99,29
agilent_230765,43.784,7.003,0.024,45,16
agilent_234286,19.416,10.989,0,463,73
agilent_235075,17.592,6.924,0.029,224,32
agilent_235082,11,11.929,0,1377,123
agilent_235302,63.94,11.689,0,52,27
agilent_235466,79.893,15.955,0,205,133
agilent_235566,29.048,15.477,0,797,188
agilent_235916,90.814,1000,0,339,250
agilent_235929,28.525,14.654,0,354,82
agilent_235978,62.181,1000,0,101,51
agilent_236864,35.592,15.654,0,647,187
agilent_236906,45.51,7.425,0.009,46,17
agilent_237631,108.021,1000,0,57,50
agilent_237747,52.776,12.085,0,77,33
agilent_237918,6.726,7.244,0.014,1428,78
agilent_238097,16.743,15.256,0,1949,265
agilent_238433,47.328,15.955,0,268,103
agilent_238855,29.345,12.363,0,235,56
agilent_239180,237.491,1000,0,42,81
agilent_239266,16.213,7.655,0.005,319,42
agilent_240269,169.021,1000,0,51,70
agilent_2403,15.237,12.364,0,889,110
agilent_241214,32.805,14.176,0,244,65
agilent_241272,31.502,7.394,0.01,86,22
agilent_241297,44.957,9.009,0,63,23
agilent_241343,37.858,1000,0,579,178
agilent_241381,225.055,1000,0,29,53
agilent_241703,17.488,8.552,0.001,338,48
