ID,fold_change,neglogp,padj,input,count
agilent_100380,2059.948,13.338,0,2,38
agilent_100413,15.572,8.235,0.002,369,53
agilent_104204,106.009,13.389,0,45,44
agilent_104514,11.317,8.358,0.001,661,69
agilent_107529,25.559,11.221,0,263,62
agilent_1088,43.25,15.654,0,737,294
agilent_10960,9.175,8.241,0.002,1288,109
agilent_110572,47.74,15.477,0,243,107
agilent_11153,50.039,7.109,0.021,52,24
agilent_11154,19.657,10.328,0,353,64
agilent_1173,10.531,7.369,0.011,628,61
agilent_11947,36.998,15.477,0,800,273
agilent_11948,38.542,1000,0,1083,385
agilent_11949,48.449,15.654,0,320,143
agilent_12004,12.767,8.094,0.002,518,61
agilent_12006,32.295,7.206,0.017,94,28
agilent_12009,13.115,11.013,0,744,90
agilent_12011,31.607,15.256,0,590,172
agilent_12012,19.914,7.082,0.022,196,36
agilent_120133,17.571,7.979,0.003,290,47
agilent_12013,38.721,12.272,0,154,55
agilent_12015,29.117,15.477,0,1091,293
agilent_12016,29.184,11.29,0,2099,565
agilent_12017,21.557,11.169,0,342,68
agilent_12018,66.497,12.773,0,75,46
agilent_12019,29.435,11.637,0,221,60
agilent_12020,33.337,15.477,0,374,115
agilent_12021,38.135,1000,0,489,172
agilent_12022,15.692,8.475,0.001,380,55
agilent_12023,37.876,15.051,0,541,189
agilent_120494,1409.438,9.347,0,2,26
agilent_121039,42.163,15.654,0,738,287
agilent_121681,18.006,8.063,0.002,283,47
agilent_129495,31.64,13.844,0,257,75
agilent_13153,8.122,7.102,0.021,841,63
agilent_132871,65.051,7.43,0.01,40,24
agilent_133222,68.665,15.955,0,120,76
agilent_134572,36.139,12.23,0,171,57
agilent_135148,29.15,11.214,0,212,57
agilent_137474,48.331,9.979,0,83,37
agilent_138192,20599.476,7.07,0.023,0.1,19
agilent_138271,19.933,12.214,0,446,82
agilent_140043,17.516,9.208,0,359,58
agilent_145348,10.895,7.556,0.007,617,62
agilent_147336,11.412,10.954,0,874,92
