ID,fold_change,neglogp,padj,input,count
agilent_100253,45.125,8.218,0.002,106,82
agilent_100637,52.215,15.256,0,267,239
agilent_101,10.652,7.858,0.004,909,166
agilent_101169,59.229,7.603,0.007,65,66
agilent_10251,26.2,13.148,0,590,265
agilent_103784,25.768,7.001,0.028,206,91
agilent_104204,116.664,10.917,0,45,90
agilent_10529,20.223,9.44,0,499,173
agilent_105317,8714.808,1000,0,5,747
agilent_105624,65.232,10.768,0,93,104
agilent_106635,57.421,11.683,0,128,126
agilent_106745,21.852,7.781,0.005,323,121
agilent_107529,455.123,1000,0,263,2052
agilent_1075,53.247,1000,0,826,754
agilent_108474,12.988,8.13,0.002,759,169
agilent_10959,56.599,14.75,0,202,196
agilent_10960,23.686,1000,0,1288,523
agilent_109931,38.177,1000,0,492,322
agilent_109977,13.88,7.321,0.013,622,148
agilent_109992,370.825,11.985,0,14,89
agilent_110337,8.356,7.508,0.009,1117,160
agilent_11048,90.651,12.58,0,74,115
agilent_111020,31.609,1000,0,967,524
agilent_112839,278.442,15.176,0,203,969
agilent_11313,43.644,9.402,0,139,104
agilent_113777,55.874,15,0,261,250
agilent_1147,21.374,8.739,0.001,393,144
agilent_1148,16.483,8.373,0.001,591,167
agilent_11512,135.536,1000,0,68,158
agilent_115477,6.446,8.371,0.001,1638,181
agilent_1162,64.358,15.109,0,726,801
agilent_116672,30.45,7.147,0.02,159,83
agilent_1172,62.177,1000,0,531,566
agilent_1173,48.486,1000,0,628,522
agilent_117715,33.653,7.799,0.004,156,90
agilent_118029,53.182,1000,0,589,537
agilent_11947,81.592,1000,0,800,1119
agilent_11948,56.447,15.176,0,1083,1048
agilent_11949,74.191,15.654,0,320,407
agilent_119918,95.831,15.353,0,196,322
agilent_12000,3597.143,1000,0,3,185
agilent_12001,3587.421,15.955,0,6,369
agilent_12011,669.237,15.955,0,590,6769
agilent_12012,548.5,15.353,0,196,1843
agilent_12013,693.167,15.176,0,154,1830
agilent_12015,462.753,1000,0,1091,8655
agilent_12016,403.544,1000,0,2099,14521
agilent_12017,436.467,15.955,0,342,2559
agilent_12018,786.316,15.955,0,75,1011
agilent_12019,832.485,1000,0,221,3154
agilent_12020,539.337,1000,0,374,3458
agilent_12021,195.872,15.654,0,489,1642
agilent_12022,58.332,15.256,0,380,380
agilent_12023,191.709,1000,0,541,1778
agilent_12024,2123.973,15.955,0,17,619
