ID,fold_change,neglogp,padj,input,count
agilent_103412,184.437,7.921,0.004,16,55
agilent_103600,87.345,15.353,0,86,140
agilent_103957,30.802,12.312,0,324,186
agilent_104116,102.838,9.085,0,36,69
agilent_104255,58.459,8.75,0.001,67,73
agilent_105317,997.974,13.15,0,5,93
agilent_106282,132.859,7.385,0.012,21,52
agilent_106304,224.678,9.448,0,16,67
agilent_106729,19.245,12.345,0,697,250
agilent_107092,34.144,9.297,0,154,98
agilent_107432,22.546,6.836,0.043,188,79
agilent_107451,30.404,8.143,0.002,150,85
agilent_1075,81.846,15.955,0,826,1260
agilent_107529,80.992,15.256,0,263,397
agilent_107830,142.184,7.542,0.009,20,53
agilent_108087,25.995,13.917,0,516,250
agilent_108306,30.722,7.282,0.016,124,71
agilent_108409,16.584,15.353,0,1100,340
agilent_10959,23.64,7.447,0.011,202,89
agilent_10960,17.496,1000,0,1288,420
agilent_11048,188.516,15.955,0,74,260
agilent_11153,276.527,1000,0,52,268
agilent_11154,98.645,15.955,0,353,649
agilent_111596,67.962,12.708,0,90,114
agilent_111611,131.282,14.247,0,47,115
agilent_11170,22.906,15.051,0,780,333
agilent_112637,23.408,7.409,0.012,204,89
agilent_11266,53.125,1000,0,405,401
agilent_11271,17.663,8.095,0.002,404,133
agilent_112839,57.883,15.654,0,203,219
agilent_113076,49.501,13.506,0,155,143
agilent_113104,301.291,10.311,0,13,73
agilent_114246,39.549,12.247,0,194,143
agilent_114521,142.253,15.955,0,195,517
agilent_11512,108.887,1000,0,68,138
agilent_115477,5.732,7.459,0.01,1638,175
agilent_11583,10.966,8.275,0.002,866,177
agilent_1167,118.849,15.256,0,544,1205
agilent_117038,33.623,11.204,0,225,141
agilent_1173,157.29,1000,0,628,1841
agilent_117529,167.907,15.654,0,85,266
agilent_11898,44.712,8.01,0.003,84,70
agilent_119064,61.63,15.353,0,148,170
agilent_11947,117.705,1000,0,800,1755
agilent_11948,95.617,1000,0,1083,1930
agilent_11949,119.381,1000,0,320,712
agilent_119800,96.059,13.277,0,62,111
agilent_12000,912.127,7.851,0.004,3,51
agilent_12001,777.99,12.35,0,6,87
agilent_12004,39.878,1000,0,518,385
agilent_12005,64.039,12.289,0,93,111
agilent_12006,105.597,1000,0,94,185
agilent_12009,14.207,9.521,0,744,197
agilent_12011,145.049,1000,0,590,1595
agilent_12012,86.504,1000,0,196,316
agilent_12013,148.073,15.477,0,154,425
agilent_12014,7.082,8.544,0.001,1485,196
agilent_12015,112.522,1000,0,1091,2288
agilent_12016,112.651,1000,0,2099,4407
agilent_12017,114.369,1000,0,342,729
agilent_12018,232.503,15.654,0,75,325
