ID,fold_change,neglogp,padj,input,count
agilent_10060,10.365,8.76,0.001,922,193
agilent_100835,47.597,1000,0,361,347
agilent_101027,13.305,7.228,0.018,428,115
agilent_101190,88.102,15.477,0,77,137
agilent_101196,122.085,15.176,0,406,1001
agilent_101207,24.428,9.536,0,225,111
agilent_102275,136.667,15.477,0,75,207
agilent_102435,49.648,15.955,0,377,378
agilent_102473,42.783,12.097,0,125,108
agilent_103029,25.872,1000,0,578,302
agilent_103244,65.187,13.008,0,79,104
agilent_103293,41.507,14.955,0,272,228
agilent_103801,265.701,15.955,0,41,220
agilent_104120,43.704,15.654,0,230,203
agilent_104204,101.235,12.528,0,45,92
agilent_104324,22.008,7.002,0.03,153,68
agilent_104329,52.909,9.956,0,73,78
agilent_104777,22.021,12.05,0,416,185
agilent_104809,16.917,7.171,0.02,281,96
agilent_106628,21.349,7.141,0.022,167,72
agilent_106980,2277.78,7.755,0.005,1,46
agilent_107125,61.212,15.256,0,199,246
agilent_107181,30.722,9.209,0,137,85
agilent_107268,106.181,15.176,0,194,416
agilent_107272,19.762,7.617,0.007,223,89
agilent_107278,276.533,15.955,0,65,363
agilent_107529,44.245,1000,0,263,235
agilent_108138,90.273,15.654,0,130,237
agilent_108450,12.5,8.046,0.003,614,155
agilent_10959,64.47,15.955,0,202,263
agilent_10960,18.146,1000,0,1288,472
agilent_109931,15.701,9.306,0,492,156
agilent_110572,55.63,15.353,0,243,273
agilent_110779,40.641,10.211,0,106,87
agilent_111569,55.707,15.477,0,152,171
agilent_112107,13.227,7.287,0.016,438,117
agilent_11266,89.253,1000,0,405,730
agilent_11279,34.281,1000,0,325,225
agilent_11281,54.729,10.626,0,76,84
agilent_113148,268.18,15.955,0,113,612
agilent_113371,51.168,8.238,0.002,60,62
agilent_114006,64.238,15.256,0,185,240
agilent_115138,66.128,15.477,0,468,625
agilent_115718,81.878,15.176,0,254,420
agilent_116244,42.032,14.449,0,172,146
agilent_1167,116.146,1000,0,544,1276
agilent_118814,12.966,9.85,0,802,210
agilent_119064,34.461,10.874,0,148,103
agilent_119265,73.087,14.75,0,1479,2183
agilent_119425,9.861,11.921,0,1386,276
agilent_119772,18.808,8.878,0,337,128
agilent_12000,907.811,8.943,0,3,55
agilent_12001,924.317,1000,0,6,112
agilent_120041,21.139,10.122,0,342,146
agilent_12004,139.183,1000,0,518,1456
agilent_12005,215.638,15.955,0,93,405
agilent_12006,392.975,1000,0,94,746
agilent_12011,25.933,14.875,0,590,309
agilent_12013,29.903,9.645,0,154,93
agilent_12015,333.366,15.654,0,1091,7345
agilent_12016,295.215,1000,0,2099,12514
agilent_12017,320.702,15.477,0,342,2215
agilent_12018,223.817,15.477,0,75,339
agilent_12019,139.589,15.256,0,221,623
agilent_12020,132.928,1000,0,374,1004
agilent_12024,535.948,15.955,0,17,184
agilent_120611,60.5,15.051,0,266,325
agilent_120612,54.069,15.051,0,359,392
agilent_120891,169.424,15.353,0,223,763
agilent_121299,60.944,15.353,0,143,176
agilent_121443,34.713,8.16,0.002,97,68
agilent_121617,320.273,15.955,0,156,1009
agilent_12310,29.401,6.845,0.043,96,57
agilent_123848,7.264,10.49,0,1752,257
agilent_123950,70.884,15.477,0,146,209
agilent_12406,34.52,12.013,0,175,122
agilent_124257,220.576,15.955,0,99,441
agilent_124801,35.685,12.576,0,179,129
agilent_125065,60.891,1000,0,1306,1606
agilent_12530,78.691,1000,0,684,1087
agilent_125546,9.862,6.804,0.047,718,143
agilent_1258,3.924,7.951,0.003,2978,236
agilent_126564,71.609,12.183,0,65,94
agilent_126611,80.101,15.654,0,136,220
agilent_126882,29.465,8.112,0.002,121,72
agilent_127741,56.159,11.573,0,82,93
agilent_127764,15.12,10.133,0,655,200
agilent_128370,17.314,7.413,0.012,286,100
agilent_128407,161.882,12.215,0,26,85
agilent_129400,144.705,15.256,0,103,301
agilent_129495,188.049,15.477,0,257,976
agilent_12960,24.124,1000,0,585,285
agilent_129884,240.157,15.955,0,40,194
agilent_130471,116.719,13.531,0,42,99
agilent_130807,32.17,1000,0,608,395
agilent_130932,29.881,7.988,0.003,116,70
agilent_131712,31.881,15.176,0,365,235
agilent_132331,19311.617,6.79,0.049,0.1,39
agilent_132483,17.713,7.088,0.025,246,88
agilent_133222,321.86,15.256,0,120,780
