ID,fold_change,neglogp,padj,input,count
agilent_100944,43.273,6.902,0.038,60,52
agilent_101,62.673,1000,0,909,1141
agilent_102275,169.096,15.955,0,75,254
agilent_10239,524.265,6.969,0.033,4,42
agilent_102644,23966.412,7.957,0.003,0.1,48
agilent_104918,51.793,1000,0,1045,1084
agilent_10567,19.601,7.806,0.005,242,95
agilent_106096,17.731,11.253,0,597,212
agilent_107529,33.793,14.222,0,263,178
agilent_108088,163.501,15.955,0,193,632
agilent_108851,10.962,13.262,0,1412,310
agilent_108865,10.439,6.938,0.035,684,143
agilent_109189,6.427,6.987,0.031,1313,169
agilent_10960,48.341,1000,0,1288,1247
agilent_112837,21.036,11.317,0,413,174
agilent_113080,60.479,15.353,0,284,344
agilent_113932,22.79,9.151,0,241,110
agilent_114176,20.292,7.292,0.016,187,76
agilent_115303,12.099,7.231,0.018,553,134
agilent_1167,24.873,1000,0,544,271
agilent_117439,7.743,6.812,0.047,1006,156
agilent_119229,69.534,1000,0,163,227
agilent_11947,32.642,15.654,0,800,523
agilent_11948,22.683,15.477,0,1083,492
agilent_11949,43.689,15.176,0,320,280
agilent_12000,1065.174,10.025,0,3,64
agilent_12001,740.629,13.254,0,6,89
agilent_12011,80.48,1000,0,590,951
agilent_12012,56.044,1000,0,196,220
agilent_12013,83.649,15.477,0,154,258
agilent_12015,18.581,1000,0,1091,406
agilent_12016,19.625,14.841,0,2099,825
agilent_12018,49.264,9.462,0,75,74
agilent_12019,34.115,13.515,0,221,151
agilent_12020,31.24,1000,0,374,234
agilent_12024,484.615,1000,0,17,165
agilent_120263,47.79,8.664,0.001,70,67
agilent_120494,1148.391,7.602,0.008,2,46
agilent_120811,69402.734,1000,0,0.1,139
agilent_122850,7.954,8.984,0,1337,213
agilent_123200,116.586,1000,0,606,1415
agilent_124313,34.769,14.311,0,247,172
agilent_12551,26.32,7.657,0.007,129,68
agilent_126625,39.515,13.641,0,163,129
agilent_126952,67.366,11.132,0,63,85
agilent_127348,55.478,8.076,0.003,54,60
agilent_128338,41441.921,12.699,0,0.1,83
agilent_129495,125.894,15.955,0,257,648
agilent_129886,123.9,9.645,0,27,67
agilent_13012,66.573,15.176,0,153,204
agilent_130510,20.839,8.334,0.001,242,101
agilent_130807,20.448,13.167,0,608,249
agilent_132331,22967.811,7.68,0.006,0.1,46
agilent_132656,18.237,10.264,0,449,164
agilent_133222,179.748,15.955,0,120,432
agilent_133406,11.007,7.88,0.004,753,166
agilent_134859,72.239,9.282,0,47,68
agilent_135148,161.566,15.109,0,212,686
agilent_135372,23.264,11.541,0,367,171
agilent_136779,22.223,7.723,0.006,173,77
agilent_137474,152.798,15.477,0,83,254
agilent_13774,23.925,14.463,0,528,253
agilent_141247,41.474,11.926,0,124,103
