comparison,group1,group2
control_vs_dementia,control,dementia
control_vs_MCI,control,MCI
control_vs_MCI_or_dementia,control,MCI_or_dementia
MCI_vs_dementia,MCI,dementia
all_m_vs_all_f,all_m,all_f
control_f_vs_MCI_or_dementia_f,control_f,MCI_or_dementia_f
control_m_vs_MCI_or_dementia_m,control_m,MCI_or_dementia_m
MCI_or_dementia_m_vs_MCI_or_dementia_f,MCI_or_dementia_m,MCI_or_dementia_f
control_m_vs_control_f,control_m,control_f
control_m_vs_MCI_m,control_m,MCI_m
control_f_vs_MCI_f,control_f,MCI_f
MCI_m_vs_MCI_f,MCI_m,MCI_f
control_m_vs_MCI_m,control_m,MCI_m
control_f_vs_MCI_f,control_f,MCI_f
MCI_m_vs_MCI_f,MCI_m,MCI_f
MCI_or_dementia_healthy_BMI_vs_MCI_or_dementia_overweight,MCI_or_dementia_healthy_BMI,MCI_or_dementia_overweight
control_healthy_BMI_vs_control_overweight,control_healthy_BMI,control_overweight
all_healthy_BMI_vs_all_overweight,all_healthy_BMI,all_overweight
control_overweight_vs_MCI_or_dementia_overweight,control_overweight,MCI_or_dementia_overweight
control_overweight_m_vs_MCI_overweight_m,control_overweight_m,MCI_overweight_m
control_overweight_f_vs_MCI_overweight_f,control_overweight_f,MCI_overweight_f
control_overweight_vs_MCI_overweight,control_overweight,MCI_overweight
