"","rank","feature","n_peptides","group_col","group1","group2","n1","N1","prop1","percent1","n2","N2","prop2","percent2","p_raw","p_adj_rank","passed_rank_bh","category_rank_bh","p_adj_rank_wbh","passed_rank_wbh","category_rank_wbh"
"1","class","Aconoidasida",6219,"group_char","control","dementia",42,50,0.84,84,11,15,0.733333333333333,73.3333333333333,0.449189193563535,1,FALSE,"not significant",1,FALSE,"not significant"
"2","class","Actinomycetes",9139,"group_char","control","dementia",50,50,1,100,15,15,1,100,1,1,FALSE,"not significant",1,FALSE,"not significant"
"3","class","Actinopteri",1550,"group_char","control","dementia",25,50,0.5,50,6,15,0.4,40,0.565128188537421,1,FALSE,"not significant",1,FALSE,"not significant"
"4","class","Agaricomycetes",44,"group_char","control","dementia",2,50,0.04,4,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"5","class","Alphaproteobacteria",1188,"group_char","control","dementia",33,50,0.66,66,6,15,0.4,40,0.13120951693643,1,FALSE,"not significant",1,FALSE,"not significant"
"6","class","Alsuviricetes",350,"group_char","control","dementia",9,50,0.18,18,3,15,0.2,20,1,1,FALSE,"not significant",1,FALSE,"not significant"
"7","class","Amphibia",15,"group_char","control","dementia",2,50,0.04,4,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"8","class","Arachnida",1875,"group_char","control","dementia",19,50,0.38,38,4,15,0.266666666666667,26.6666666666667,0.544187284061686,1,FALSE,"not significant",1,FALSE,"not significant"
"9","class","Ascidiacea",4,"group_char","control","dementia",2,50,0.04,4,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"10","class","Aves",680,"group_char","control","dementia",26,50,0.52,52,6,15,0.4,40,0.557965593995684,1,FALSE,"not significant",1,FALSE,"not significant"
"11","class","Bacilli",20285,"group_char","control","dementia",50,50,1,100,15,15,1,100,1,1,FALSE,"not significant",1,FALSE,"not significant"
"12","class","Bacteroidia",91544,"group_char","control","dementia",50,50,1,100,15,15,1,100,1,1,FALSE,"not significant",1,FALSE,"not significant"
"13","class","Betaproteobacteria",2981,"group_char","control","dementia",48,50,0.96,96,14,15,0.933333333333333,93.3333333333333,0.551282051282051,1,FALSE,"not significant",1,FALSE,"not significant"
"14","class","Bivalvia",153,"group_char","control","dementia",5,50,0.1,10,2,15,0.133333333333333,13.3333333333333,0.657621758042798,1,FALSE,"not significant",1,FALSE,"not significant"
"15","class","Branchiopoda",18,"group_char","control","dementia",3,50,0.06,6,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"16","class","Caudoviricetes",40106,"group_char","control","dementia",50,50,1,100,15,15,1,100,1,1,FALSE,"not significant",1,FALSE,"not significant"
"17","class","Cephalopoda",65,"group_char","control","dementia",3,50,0.06,6,1,15,0.0666666666666667,6.66666666666667,1,1,FALSE,"not significant",1,FALSE,"not significant"
"18","class","Cestoda",110,"group_char","control","dementia",5,50,0.1,10,3,15,0.2,20,0.372587655132615,1,FALSE,"not significant",1,FALSE,"not significant"
"19","class","Chlamydiia",409,"group_char","control","dementia",20,50,0.4,40,1,15,0.0666666666666667,6.66666666666667,0.0248529602860298,1,FALSE,"nominal only",1,FALSE,"nominal only"
"20","class","Chondrichthyes",52,"group_char","control","dementia",3,50,0.06,6,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"21","class","Chromadorea",423,"group_char","control","dementia",7,50,0.14,14,1,15,0.0666666666666667,6.66666666666667,0.669427904317184,1,FALSE,"not significant",1,FALSE,"not significant"
"22","class","Clostridia",65917,"group_char","control","dementia",50,50,1,100,15,15,1,100,1,1,FALSE,"not significant",1,FALSE,"not significant"
"23","class","Conoidasida",174,"group_char","control","dementia",7,50,0.14,14,1,15,0.0666666666666667,6.66666666666667,0.669427904317184,1,FALSE,"not significant",1,FALSE,"not significant"
"24","class","Coriobacteriia",444,"group_char","control","dementia",39,50,0.78,78,13,15,0.866666666666667,86.6666666666667,0.715372654351685,1,FALSE,"not significant",1,FALSE,"not significant"
"25","class","Cyanophyceae",51,"group_char","control","dementia",2,50,0.04,4,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"26","class","Diplopoda",12,"group_char","control","dementia",1,50,0.02,2,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"27","class","Dothideomycetes",606,"group_char","control","dementia",23,50,0.46,46,4,15,0.266666666666667,26.6666666666667,0.238756923317577,1,FALSE,"not significant",1,FALSE,"not significant"
"28","class","Echinoidea",45,"group_char","control","dementia",1,50,0.02,2,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"29","class","Epsilonproteobacteria",4347,"group_char","control","dementia",49,50,0.98,98,13,15,0.866666666666667,86.6666666666667,0.130608974358974,1,FALSE,"not significant",1,FALSE,"not significant"
"30","class","Erysipelotrichia",332,"group_char","control","dementia",14,50,0.28,28,1,15,0.0666666666666667,6.66666666666667,0.159334766198391,1,FALSE,"not significant",1,FALSE,"not significant"
"31","class","Eurotiomycetes",1578,"group_char","control","dementia",31,50,0.62,62,9,15,0.6,60,1,1,FALSE,"not significant",1,FALSE,"not significant"
"32","class","Flasuviricetes",894,"group_char","control","dementia",22,50,0.44,44,4,15,0.266666666666667,26.6666666666667,0.367912891319699,1,FALSE,"not significant",1,FALSE,"not significant"
"33","class","Flavobacteriia",38,"group_char","control","dementia",7,50,0.14,14,1,15,0.0666666666666667,6.66666666666667,0.669427904317184,1,FALSE,"not significant",1,FALSE,"not significant"
"34","class","Fusobacteriia",142,"group_char","control","dementia",1,50,0.02,2,1,15,0.0666666666666667,6.66666666666667,0.411057692307692,1,FALSE,"not significant",1,FALSE,"not significant"
"35","class","Gammaproteobacteria",31487,"group_char","control","dementia",50,50,1,100,15,15,1,100,1,1,FALSE,"not significant",1,FALSE,"not significant"
"36","class","Gastropoda",77,"group_char","control","dementia",1,50,0.02,2,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"37","class","Herviviricetes",3114,"group_char","control","dementia",50,50,1,100,15,15,1,100,1,1,FALSE,"not significant",1,FALSE,"not significant"
"38","class","Insecta",3048,"group_char","control","dementia",32,50,0.64,64,10,15,0.666666666666667,66.6666666666667,1,1,FALSE,"not significant",1,FALSE,"not significant"
"39","class","Insthoviricetes",1313,"group_char","control","dementia",48,50,0.96,96,12,15,0.8,80,0.0761061166931077,1,FALSE,"not significant",1,FALSE,"not significant"
"40","class","Kinetoplastea",155,"group_char","control","dementia",5,50,0.1,10,1,15,0.0666666666666667,6.66666666666667,1,1,FALSE,"not significant",1,FALSE,"not significant"
"41","class","Lentisphaeria",23,"group_char","control","dementia",2,50,0.04,4,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"42","class","Lepidosauria",15,"group_char","control","dementia",1,50,0.02,2,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"43","class","Magnoliopsida",11060,"group_char","control","dementia",48,50,0.96,96,15,15,1,100,1,1,FALSE,"not significant",1,FALSE,"not significant"
"44","class","Malacostraca",409,"group_char","control","dementia",9,50,0.18,18,2,15,0.133333333333333,13.3333333333333,1,1,FALSE,"not significant",1,FALSE,"not significant"
"45","class","Malasseziomycetes",214,"group_char","control","dementia",7,50,0.14,14,1,15,0.0666666666666667,6.66666666666667,0.669427904317184,1,FALSE,"not significant",1,FALSE,"not significant"
"46","class","Mammalia",25315,"group_char","control","dementia",50,50,1,100,15,15,1,100,1,1,FALSE,"not significant",1,FALSE,"not significant"
"47","class","Merostomata",17,"group_char","control","dementia",1,50,0.02,2,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"48","class","Microbotryomycetes",23,"group_char","control","dementia",1,50,0.02,2,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"49","class","Mollicutes",70,"group_char","control","dementia",5,50,0.1,10,0,15,0,0,0.581773990155799,1,FALSE,"not significant",1,FALSE,"not significant"
"50","class","Monjiviricetes",622,"group_char","control","dementia",49,50,0.98,98,15,15,1,100,1,1,FALSE,"not significant",1,FALSE,"not significant"
"51","class","Mucoromycetes",41,"group_char","control","dementia",0,50,0,0,1,15,0.0666666666666667,6.66666666666667,0.230769230769231,1,FALSE,"not significant",1,FALSE,"not significant"
"52","class","Negativicutes",1023,"group_char","control","dementia",35,50,0.7,70,8,15,0.533333333333333,53.3333333333333,0.350726400485382,1,FALSE,"not significant",1,FALSE,"not significant"
"53","class","Papovaviricetes",246,"group_char","control","dementia",18,50,0.36,36,4,15,0.266666666666667,26.6666666666667,0.756522400182018,1,FALSE,"not significant",1,FALSE,"not significant"
"54","class","Pichiomycetes",179,"group_char","control","dementia",7,50,0.14,14,0,15,0,0,0.187554625848417,1,FALSE,"not significant",1,FALSE,"not significant"
"55","class","Pinopsida",361,"group_char","control","dementia",5,50,0.1,10,2,15,0.133333333333333,13.3333333333333,0.657621758042798,1,FALSE,"not significant",1,FALSE,"not significant"
"56","class","Pisoniviricetes",14627,"group_char","control","dementia",50,50,1,100,15,15,1,100,1,1,FALSE,"not significant",1,FALSE,"not significant"
"57","class","Quintoviricetes",98,"group_char","control","dementia",5,50,0.1,10,0,15,0,0,0.581773990155799,1,FALSE,"not significant",1,FALSE,"not significant"
"58","class","Resentoviricetes",66,"group_char","control","dementia",1,50,0.02,2,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"59","class","Revtraviricetes",508,"group_char","control","dementia",7,50,0.14,14,1,15,0.0666666666666667,6.66666666666667,0.669427904317184,1,FALSE,"not significant",1,FALSE,"not significant"
"60","class","Saccharomycetes",78,"group_char","control","dementia",1,50,0.02,2,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"61","class","Sordariomycetes",244,"group_char","control","dementia",9,50,0.18,18,2,15,0.133333333333333,13.3333333333333,1,1,FALSE,"not significant",1,FALSE,"not significant"
"62","class","Spirochaetia",335,"group_char","control","dementia",12,50,0.24,24,5,15,0.333333333333333,33.3333333333333,0.512229889175828,1,FALSE,"not significant",1,FALSE,"not significant"
"63","class","Tectiliviricetes",274,"group_char","control","dementia",44,50,0.88,88,13,15,0.866666666666667,86.6666666666667,1,1,FALSE,"not significant",1,FALSE,"not significant"
"64","class","Trematoda",136,"group_char","control","dementia",1,50,0.02,2,1,15,0.0666666666666667,6.66666666666667,0.411057692307692,1,FALSE,"not significant",1,FALSE,"not significant"
"65","class","Verrucomicrobiia",4444,"group_char","control","dementia",49,50,0.98,98,14,15,0.933333333333333,93.3333333333333,0.411057692307692,1,FALSE,"not significant",1,FALSE,"not significant"
"66","family","Acaridae",320,"group_char","control","dementia",5,50,0.1,10,1,15,0.0666666666666667,6.66666666666667,1,1,FALSE,"not significant",1,FALSE,"not significant"
"67","family","Acidaminococcaceae",197,"group_char","control","dementia",5,50,0.1,10,0,15,0,0,0.581773990155799,1,FALSE,"not significant",1,FALSE,"not significant"
"68","family","Ackermannviridae",1926,"group_char","control","dementia",32,50,0.64,64,12,15,0.8,80,0.349672384901755,1,FALSE,"not significant",1,FALSE,"not significant"
"69","family","Acrididae",8,"group_char","control","dementia",1,50,0.02,2,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"70","family","Actinidiaceae",341,"group_char","control","dementia",26,50,0.52,52,6,15,0.4,40,0.557965593995684,1,FALSE,"not significant",1,FALSE,"not significant"
"71","family","Adenoviridae",134,"group_char","control","dementia",43,50,0.86,86,13,15,0.866666666666667,86.6666666666667,1,1,FALSE,"not significant",1,FALSE,"not significant"
"72","family","Adrianichthyidae",95,"group_char","control","dementia",2,50,0.04,4,1,15,0.0666666666666667,6.66666666666667,0.551282051282051,1,FALSE,"not significant",1,FALSE,"not significant"
"73","family","Agaricaceae",23,"group_char","control","dementia",2,50,0.04,4,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"74","family","Akkermansiaceae",4444,"group_char","control","dementia",49,50,0.98,98,14,15,0.933333333333333,93.3333333333333,0.411057692307692,1,FALSE,"not significant",1,FALSE,"not significant"
"75","family","Alcaligenaceae",788,"group_char","control","dementia",37,50,0.74,74,10,15,0.666666666666667,66.6666666666667,0.742994546037264,1,FALSE,"not significant",1,FALSE,"not significant"
"76","family","Aliceevansviridae",681,"group_char","control","dementia",28,50,0.56,56,5,15,0.333333333333333,33.3333333333333,0.149744519460108,1,FALSE,"not significant",1,FALSE,"not significant"
"77","family","Amaranthaceae",14,"group_char","control","dementia",1,50,0.02,2,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"78","family","Amaryllidaceae",92,"group_char","control","dementia",2,50,0.04,4,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"79","family","Amelidae",23,"group_char","control","dementia",2,50,0.04,4,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"80","family","Anacardiaceae",118,"group_char","control","dementia",8,50,0.16,16,4,15,0.266666666666667,26.6666666666667,0.449189193563535,1,FALSE,"not significant",1,FALSE,"not significant"
"81","family","Anaplasmataceae",134,"group_char","control","dementia",4,50,0.08,8,1,15,0.0666666666666667,6.66666666666667,1,1,FALSE,"not significant",1,FALSE,"not significant"
"82","family","Anatidae",56,"group_char","control","dementia",4,50,0.08,8,0,15,0,0,0.56575682382134,1,FALSE,"not significant",1,FALSE,"not significant"
"83","family","Ancylostomatidae",18,"group_char","control","dementia",3,50,0.06,6,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"84","family","Anelloviridae",48,"group_char","control","dementia",2,50,0.04,4,2,15,0.133333333333333,13.3333333333333,0.225599669148056,1,FALSE,"not significant",1,FALSE,"not significant"
"85","family","Anisakidae",222,"group_char","control","dementia",2,50,0.04,4,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"86","family","Aphididae",19,"group_char","control","dementia",0,50,0,0,1,15,0.0666666666666667,6.66666666666667,0.230769230769231,1,FALSE,"not significant",1,FALSE,"not significant"
"87","family","Apiaceae",108,"group_char","control","dementia",4,50,0.08,8,1,15,0.0666666666666667,6.66666666666667,1,1,FALSE,"not significant",1,FALSE,"not significant"
"88","family","Apidae",476,"group_char","control","dementia",6,50,0.12,12,1,15,0.0666666666666667,6.66666666666667,1,1,FALSE,"not significant",1,FALSE,"not significant"
"89","family","Araliaceae",14,"group_char","control","dementia",1,50,0.02,2,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"90","family","Artemiidae",18,"group_char","control","dementia",3,50,0.06,6,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"91","family","Arthrodermataceae",135,"group_char","control","dementia",5,50,0.1,10,1,15,0.0666666666666667,6.66666666666667,1,1,FALSE,"not significant",1,FALSE,"not significant"
"92","family","Ascarididae",56,"group_char","control","dementia",3,50,0.06,6,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"93","family","Aspergillaceae",1398,"group_char","control","dementia",30,50,0.6,60,9,15,0.6,60,1,1,FALSE,"not significant",1,FALSE,"not significant"
"94","family","Astacidae",15,"group_char","control","dementia",1,50,0.02,2,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"95","family","Asteraceae",280,"group_char","control","dementia",6,50,0.12,12,0,15,0,0,0.322473864052394,1,FALSE,"not significant",1,FALSE,"not significant"
"96","family","Atopobiaceae",31,"group_char","control","dementia",36,50,0.72,72,12,15,0.8,80,0.740679181587149,1,FALSE,"not significant",1,FALSE,"not significant"
"97","family","Autographiviridae",1693,"group_char","control","dementia",39,50,0.78,78,7,15,0.466666666666667,46.6666666666667,0.0268223848260122,1,FALSE,"nominal only",1,FALSE,"nominal only"
"98","family","Azospirillaceae",112,"group_char","control","dementia",1,50,0.02,2,1,15,0.0666666666666667,6.66666666666667,0.411057692307692,1,FALSE,"not significant",1,FALSE,"not significant"
"99","family","Bacillaceae",1863,"group_char","control","dementia",42,50,0.84,84,12,15,0.8,80,0.706089095379752,1,FALSE,"not significant",1,FALSE,"not significant"
"100","family","Bacillidae",21,"group_char","control","dementia",2,50,0.04,4,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"101","family","Bacteroidaceae",60903,"group_char","control","dementia",50,50,1,100,15,15,1,100,1,1,FALSE,"not significant",1,FALSE,"not significant"
"102","family","Barnesiellaceae",3759,"group_char","control","dementia",50,50,1,100,15,15,1,100,1,1,FALSE,"not significant",1,FALSE,"not significant"
"103","family","Bartonellaceae",428,"group_char","control","dementia",25,50,0.5,50,4,15,0.266666666666667,26.6666666666667,0.144195342245846,1,FALSE,"not significant",1,FALSE,"not significant"
"104","family","Belostomatidae",12,"group_char","control","dementia",0,50,0,0,1,15,0.0666666666666667,6.66666666666667,0.230769230769231,1,FALSE,"not significant",1,FALSE,"not significant"
"105","family","Betulaceae",399,"group_char","control","dementia",5,50,0.1,10,1,15,0.0666666666666667,6.66666666666667,1,1,FALSE,"not significant",1,FALSE,"not significant"
"106","family","Bifidobacteriaceae",5428,"group_char","control","dementia",50,50,1,100,15,15,1,100,1,1,FALSE,"not significant",1,FALSE,"not significant"
"107","family","Blattellidae",282,"group_char","control","dementia",11,50,0.22,22,4,15,0.266666666666667,26.6666666666667,0.733637510756924,1,FALSE,"not significant",1,FALSE,"not significant"
"108","family","Blattidae",295,"group_char","control","dementia",5,50,0.1,10,0,15,0,0,0.581773990155799,1,FALSE,"not significant",1,FALSE,"not significant"
"109","family","Bombycidae",30,"group_char","control","dementia",2,50,0.04,4,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"110","family","Bornaviridae",25,"group_char","control","dementia",0,50,0,0,1,15,0.0666666666666667,6.66666666666667,0.230769230769231,1,FALSE,"not significant",1,FALSE,"not significant"
"111","family","Borreliaceae",230,"group_char","control","dementia",9,50,0.18,18,4,15,0.266666666666667,26.6666666666667,0.476524532129322,1,FALSE,"not significant",1,FALSE,"not significant"
"112","family","Bovidae",1030,"group_char","control","dementia",30,50,0.6,60,6,15,0.4,40,0.238262490435802,1,FALSE,"not significant",1,FALSE,"not significant"
"113","family","Brassicaceae",162,"group_char","control","dementia",2,50,0.04,4,1,15,0.0666666666666667,6.66666666666667,0.551282051282051,1,FALSE,"not significant",1,FALSE,"not significant"
"114","family","Bromeliaceae",73,"group_char","control","dementia",1,50,0.02,2,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"115","family","Brucellaceae",367,"group_char","control","dementia",7,50,0.14,14,2,15,0.133333333333333,13.3333333333333,1,1,FALSE,"not significant",1,FALSE,"not significant"
"116","family","Burkholderiaceae",1372,"group_char","control","dementia",33,50,0.66,66,7,15,0.466666666666667,46.6666666666667,0.230018898479159,1,FALSE,"not significant",1,FALSE,"not significant"
"117","family","Butyricicoccaceae",67,"group_char","control","dementia",3,50,0.06,6,3,15,0.2,20,0.130089899524061,1,FALSE,"not significant",1,FALSE,"not significant"
"118","family","Caliciviridae",154,"group_char","control","dementia",34,50,0.68,68,8,15,0.533333333333333,53.3333333333333,0.361405242582662,1,FALSE,"not significant",1,FALSE,"not significant"
"119","family","Camelidae",29,"group_char","control","dementia",3,50,0.06,6,2,15,0.133333333333333,13.3333333333333,0.325262037451355,1,FALSE,"not significant",1,FALSE,"not significant"
"120","family","Campylobacteraceae",3217,"group_char","control","dementia",46,50,0.92,92,12,15,0.8,80,0.338068732216076,1,FALSE,"not significant",1,FALSE,"not significant"
"121","family","Canidae",94,"group_char","control","dementia",1,50,0.02,2,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"122","family","Caricaceae",59,"group_char","control","dementia",6,50,0.12,12,1,15,0.0666666666666667,6.66666666666667,1,1,FALSE,"not significant",1,FALSE,"not significant"
"123","family","Caryophyllaceae",35,"group_char","control","dementia",1,50,0.02,2,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"124","family","Caviidae",43,"group_char","control","dementia",1,50,0.02,2,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"125","family","Centropomidae",7,"group_char","control","dementia",2,50,0.04,4,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"126","family","Ceratopogonidae",310,"group_char","control","dementia",11,50,0.22,22,2,15,0.133333333333333,13.3333333333333,0.715372654351685,1,FALSE,"not significant",1,FALSE,"not significant"
"127","family","Cercopithecidae",50,"group_char","control","dementia",1,50,0.02,2,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"128","family","Cervidae",8,"group_char","control","dementia",2,50,0.04,4,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"129","family","Chenopodiaceae",108,"group_char","control","dementia",3,50,0.06,6,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"130","family","Chlamydiaceae",409,"group_char","control","dementia",20,50,0.4,40,1,15,0.0666666666666667,6.66666666666667,0.0248529602860298,1,FALSE,"nominal only",1,FALSE,"nominal only"
"131","family","Christensenellaceae",12,"group_char","control","dementia",2,50,0.04,4,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"132","family","Cichlidae",105,"group_char","control","dementia",0,50,0,0,1,15,0.0666666666666667,6.66666666666667,0.230769230769231,1,FALSE,"not significant",1,FALSE,"not significant"
"133","family","Cimicidae",9,"group_char","control","dementia",3,50,0.06,6,1,15,0.0666666666666667,6.66666666666667,1,1,FALSE,"not significant",1,FALSE,"not significant"
"134","family","Cladosporiaceae",125,"group_char","control","dementia",8,50,0.16,16,0,15,0,0,0.181590444293655,1,FALSE,"not significant",1,FALSE,"not significant"
"135","family","Clavicipitaceae",21,"group_char","control","dementia",1,50,0.02,2,0,15,0,0,1,1,FALSE,"not significant",1,FALSE,"not significant"
"136","family","Clostridiaceae",4595,"group_char","control","dementia",49,50,0.98,98,14,15,0.933333333333333,93.3333333333333,0.411057692307692,1,FALSE,"not significant",1,FALSE,"not significant"
"137","family","Coccinellidae",11,"group_char","control","dementia",1,50,0.02,2,1,15,0.0666666666666667,6.66666666666667,0.411057692307692,1,FALSE,"not significant",1,FALSE,"not significant"
